date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2025-06-14,21h,al_ahly-vs-inter_miami,Al Ahly,Inter Miami,2.0,3.0,0,0,2 x 3,Inter Miami,0 x 0,empate,Pedro Tayer
2025-06-15,13h,bayern_de_munique-vs-auckland_city,Bayern de Munique,Auckland City,1.0,1.0,10,0,1 x 1,empate,10 x 0,Bayern de Munique,Pedro Tayer
2025-06-15,16h,paris_saint_germain-vs-atlético_de_madrid,Paris Saint-Germain,Atlético de Madrid,2.0,1.0,4,0,2 x 1,Paris Saint-Germain,4 x 0,Paris Saint-Germain,Pedro Tayer
2025-06-15,19h,palmeiras-vs-porto,Palmeiras,Porto ,2.0,1.0,0,0,2 x 1,Palmeiras,0 x 0,empate,Pedro Tayer
2025-06-15,23h,botafogo-vs-seattle_sounders,Botafogo,Seattle Sounders,1.0,1.0,2,1,1 x 1,empate,2 x 1,Botafogo,Pedro Tayer
2025-06-16,16h,chelsea-vs-los_angeles_fc,Chelsea,Los Angeles FC,2.0,0.0,2,0,2 x 0,Chelsea,2 x 0,Chelsea,Pedro Tayer
2025-06-16,19h,boca_juniors-vs-benfica,Boca Juniors,Benfica,1.0,2.0,2,2,1 x 2,Benfica,2 x 2,empate,Pedro Tayer
2025-06-16,22h,flamengo-vs-espérance,Flamengo,Espérance,2.0,1.0,2,0,2 x 1,Flamengo,2 x 0,Flamengo,Pedro Tayer
2025-06-17,13h,fluminense-vs-borussia_dortmund,Fluminense,Borussia Dortmund,0.0,7.0,0,0,0 x 7,Borussia Dortmund,0 x 0,empate,Pedro Tayer
2025-06-17,16h,river_plate-vs-urawa_reds,River Plate,Urawa Reds,1.0,3.0,3,1,1 x 3,Urawa Reds,3 x 1,River Plate,Pedro Tayer
2025-06-17,19h,ulsan_hd-vs-mamelodi_sundowns,Ulsan HD,Mamelodi Sundowns,2.0,2.0,0,1,2 x 2,empate,0 x 1,Mamelodi Sundowns,Pedro Tayer
2025-06-17,22h,monterrey-vs-internazionale,Monterrey,Internazionale,1.0,4.0,1,1,1 x 4,Internazionale,1 x 1,empate,Pedro Tayer
2025-06-18,13h,manchester_city-vs-wydad_casablanca,Manchester City,Wydad Casablanca,2.0,0.0,2,0,2 x 0,Manchester City,2 x 0,Manchester City,Pedro Tayer
2025-06-18,16h,real_madrid-vs-al_hilal,Real Madrid,Al-Hilal,3.0,0.0,1,1,3 x 0,Real Madrid,1 x 1,empate,Pedro Tayer
2025-06-18,19h,pachuca-vs-rb_salzburg,Pachuca,RB Salzburg,1.0,3.0,1,2,1 x 3,RB Salzburg,1 x 2,RB Salzburg,Pedro Tayer
2025-06-18,22h,al_ain-vs-juventus,Al-Ain,Juventus,2.0,2.0,0,5,2 x 2,empate,0 x 5,Juventus,Pedro Tayer
2025-06-19,13h,palmeiras-vs-al_ahly,Palmeiras,Al Ahly,1.0,2.0,2,0,1 x 2,Al Ahly,2 x 0,Palmeiras,Pedro Tayer
2025-06-19,16h,inter_miami-vs-porto,Inter Miami,Porto ,3.0,0.0,2,1,3 x 0,Inter Miami,2 x 1,Inter Miami,Pedro Tayer
2025-06-19,19h,seattle_sounders-vs-atlético_de_madrid,Seattle Sounders,Atlético de Madrid,1.0,2.0,1,3,1 x 2,Atlético de Madrid,1 x 3,Atlético de Madrid,Pedro Tayer
2025-06-19,22h,paris_saint_germain-vs-botafogo,Paris Saint-Germain,Botafogo,4.0,0.0,0,1,4 x 0,Paris Saint-Germain,0 x 1,Botafogo,Pedro Tayer
2025-06-20,13h,benfica-vs-auckland_city,Benfica,Auckland City,4.0,2.0,6,0,4 x 2,Benfica,6 x 0,Benfica,Pedro Tayer
2025-06-20,15h,flamengo-vs-chelsea,Flamengo,Chelsea,1.0,1.0,3,1,1 x 1,empate,3 x 1,Flamengo,Pedro Tayer
2025-06-20,19h,los_angeles_fc-vs-espérance,Los Angeles FC,Espérance,2.0,0.0,0,1,2 x 0,Los Angeles FC,0 x 1,Espérance,Pedro Tayer
2025-06-20,22h,bayern_de_munique-vs-boca_juniors,Bayern de Munique,Boca Juniors,2.0,0.0,2,1,2 x 0,Bayern de Munique,2 x 1,Bayern de Munique,Pedro Tayer
2025-06-21,13h,mamelodi_sundowns-vs-borussia_dortmund,Mamelodi Sundowns,Borussia Dortmund,1.0,3.0,3,4,1 x 3,Borussia Dortmund,3 x 4,Borussia Dortmund,Pedro Tayer
2025-06-21,16h,internazionale-vs-urawa_reds,Internazionale,Urawa Reds,3.0,0.0,2,1,3 x 0,Internazionale,2 x 1,Internazionale,Pedro Tayer
2025-06-21,19h,fluminense-vs-ulsan_hd,Fluminense,Ulsan HD,0.0,3.0,4,2,0 x 3,Ulsan HD,4 x 2,Fluminense,Pedro Tayer
2025-06-21,22h,river_plate-vs-monterrey,River Plate,Monterrey,1.0,2.0,0,0,1 x 2,Monterrey,0 x 0,empate,Pedro Tayer
2025-06-22,13h,juventus-vs-wydad_casablanca,Juventus,Wydad Casablanca,2.0,1.0,4,1,2 x 1,Juventus,4 x 1,Juventus,Pedro Tayer
2025-06-22,16h,real_madrid-vs-pachuca,Real Madrid,Pachuca,2.0,0.0,3,1,2 x 0,Real Madrid,3 x 1,Real Madrid,Pedro Tayer
2025-06-22,19h,rb_salzburg-vs-al_hilal,RB Salzburg,Al-Hilal,2.0,1.0,0,0,2 x 1,RB Salzburg,0 x 0,empate,Pedro Tayer
2025-06-22,22h,manchester_city-vs-al_ain,Manchester City,Al-Ain,2.0,1.0,6,0,2 x 1,Manchester City,6 x 0,Manchester City,Pedro Tayer
2025-06-23,16h,seattle_sounders-vs-paris_saint_germain,Seattle Sounders,Paris Saint-Germain,0.0,3.0,0,2,0 x 3,Paris Saint-Germain,0 x 2,Paris Saint-Germain,Pedro Tayer
2025-06-23,16h,atlético_de_madrid-vs-botafogo,Atlético de Madrid,Botafogo,3.0,0.0,1,0,3 x 0,Atlético de Madrid,1 x 0,Atlético de Madrid,Pedro Tayer
2025-06-23,22h,inter_miami-vs-palmeiras,Inter Miami,Palmeiras,4.0,1.0,2,2,4 x 1,Inter Miami,2 x 2,empate,Pedro Tayer
2025-06-23,22h,porto-vs-al_ahly,Porto,Al Ahly,1.0,3.0,4,4,1 x 3,Al Ahly,4 x 4,empate,Pedro Tayer
2025-06-24,16h,benfica-vs-bayern_de_munique,Benfica,Bayern de Munique,3.0,3.0,1,0,3 x 3,empate,1 x 0,Benfica,Pedro Tayer
2025-06-24,16h,auckland_city-vs-boca_juniors,Auckland City,Boca Juniors,2.0,0.0,1,1,2 x 0,Auckland City,1 x 1,empate,Pedro Tayer
2025-06-24,22h,los_angeles_fc-vs-flamengo,Los Angeles FC,Flamengo,2.0,1.0,1,1,2 x 1,Los Angeles FC,1 x 1,empate,Pedro Tayer
2025-06-24,22h,espérance-vs-chelsea,Espérance,Chelsea,1.0,2.0,0,3,1 x 2,Chelsea,0 x 3,Chelsea,Pedro Tayer
2025-06-25,16h,mamelodi_sundowns-vs-fluminense,Mamelodi Sundowns,Fluminense,2.0,0.0,0,0,2 x 0,Mamelodi Sundowns,0 x 0,empate,Pedro Tayer
2025-06-25,16h,borussia_dortmund-vs-ulsan_hd,Borussia Dortmund,Ulsan HD,4.0,1.0,1,0,4 x 1,Borussia Dortmund,1 x 0,Borussia Dortmund,Pedro Tayer
2025-06-25,22h,internazionale-vs-river_plate,Internazionale,River Plate,5.0,0.0,2,0,5 x 0,Internazionale,2 x 0,Internazionale,Pedro Tayer
2025-06-25,22h,urawa_reds-vs-monterrey,Urawa Reds,Monterrey,1.0,0.0,0,4,1 x 0,Urawa Reds,0 x 4,Monterrey,Pedro Tayer
2025-06-26,16h,juventus-vs-manchester_city,Juventus,Manchester City,2.0,1.0,2,5,2 x 1,Juventus,2 x 5,Manchester City,Pedro Tayer
2025-06-26,16h,wydad_casablanca-vs-al_ain,Wydad Casablanca,Al-Ain,1.0,3.0,1,2,1 x 3,Al-Ain,1 x 2,Al-Ain,Pedro Tayer
2025-06-26,22h,rb_salzburg-vs-real_madrid,RB Salzburg,Real Madrid,3.0,3.0,0,3,3 x 3,empate,0 x 3,Real Madrid,Pedro Tayer
2025-06-26,22h,al_hilal-vs-pachuca,Al-Hilal,Pachuca,1.0,2.0,2,0,1 x 2,Pachuca,2 x 0,Al-Hilal,Pedro Tayer
