date,round,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,match,time_elapsed
2026-06-11 13h,1,México,,2,x,0,,África do Sul,mexico-vs-africa_do_sul,finished
2026-06-11 20h,1,Coréia do Sul,,2,x,1,,República Tcheca,coreia_do_sul-vs-republica_tcheca,finished
2026-06-12 15h,1,Canadá,,1,x,1,,Bósnia,canada-vs-bosnia,finished
2026-06-12 18h,1,Estados Unidos,,4,x,1,,Paraguai,estados_unidos-vs-paraguai,finished
2026-06-13 12h,1,Catar,,1,x,1,,Suíça,catar-vs-suica,finished
2026-06-13 18h,1,Brasil,,1,x,1,,Marrocos,brasil-vs-marrocos,finished
2026-06-13 21h,1,Haiti,,0,x,1,,Escócia,haiti-vs-escocia,finished
2026-06-13 21h,1,Austrália,,2,x,0,,Turquia,australia-vs-turquia,finished
2026-06-14 12h,1,Alemanha,,7,x,1,,Curaçao,alemanha-vs-curacao,finished
2026-06-14 15h,1,Holanda,,2,x,2,,Japão,holanda-vs-japao,finished
2026-06-14 19h,1,Costa do Marfim,,1,x,0,,Equador,costa_do_marfim-vs-equador,finished
2026-06-14 20h,1,Suécia,,5,x,1,,Tunísia,suecia-vs-tunisia,finished
2026-06-15 12h,1,Espanha,,0,x,0,,Cabo Verde,espanha-vs-cabo_verde,finished
2026-06-15 12h,1,Bélgica,,1,x,1,,Egito,belgica-vs-egito,finished
2026-06-15 18h,1,Arábia Saudita,,1,x,1,,Uruguai,arabia_saudita-vs-uruguai,finished
2026-06-15 18h,1,Irã,,2,x,2,,Nova Zelândia,ira-vs-nova_zelandia,finished
2026-06-16 15h,1,França,,3,x,1,,Senegal,franca-vs-senegal,finished
2026-06-16 18h,1,Iraque,,1,x,4,,Noruega,iraque-vs-noruega,finished
2026-06-16 20h,1,Argentina,,3,x,0,,Argélia,argentina-vs-argelia,finished
2026-06-16 21h,1,Áustria,,3,x,1,,Jordânia,austria-vs-jordania,finished
2026-06-17 12h,1,Portugal,,1,x,1,,RD Congo,portugal-vs-rd_congo,Finished
2026-06-17 15h,1,Inglaterra,,4,x,2,,Croácia,inglaterra-vs-croacia,finished
2026-06-17 19h,1,Gana,,1,x,0,,Panamá,gana-vs-panama,finished
2026-06-17 20h,1,Uzbequistão,,1,x,3,,Colômbia,uzbequistao-vs-colombia,finished
2026-06-18 12h,2,República Tcheca,,1,x,1,,África do Sul,republica_tcheca-vs-africa_do_sul,finished
2026-06-18 12h,2,Suíça,,4,x,1,,Bósnia,suica-vs-bosnia,finished
2026-06-18 15h,2,Canadá,,6,x,0,,Catar,canada-vs-catar,finished
2026-06-18 19h,2,México,,1,x,0,,Coréia do Sul,mexico-vs-coreia_do_sul,finished
2026-06-19 12h,2,Estados Unidos,,2,x,0,,Austrália,estados_unidos-vs-australia,finished
2026-06-19 18h,2,Escócia,,0,x,1,,Marrocos,escocia-vs-marrocos,finished
2026-06-19 20h,2,Turquia,,0,x,1,,Paraguai,turquia-vs-paraguai,finished
2026-06-19 21h,2,Brasil,,3,x,0,,Haiti,brasil-vs-haiti,finished
2026-06-20 12h,2,Holanda,,5,x,1,,Suécia,holanda-vs-suecia,finished
2026-06-20 16h,2,Alemanha,,,x,,,Costa do Marfim,alemanha-vs-costa_do_marfim,notstarted
2026-06-20 19h,2,Equador,,,x,,,Curaçao,equador-vs-curacao,notstarted
2026-06-20 22h,2,Tunísia,,,x,,,Japão,tunisia-vs-japao,notstarted
2026-06-21 12h,2,Espanha,,,x,,,Arábia Saudita,espanha-vs-arabia_saudita,notstarted
2026-06-21 12h,2,Bélgica,,,x,,,Irã,belgica-vs-ira,notstarted
2026-06-21 18h,2,Nova Zelândia,,,x,,,Egito,nova_zelandia-vs-egito,notstarted
2026-06-21 18h,2,Uruguai,,,x,,,Cabo Verde,uruguai-vs-cabo_verde,notstarted
2026-06-22 12h,2,Argentina,,,x,,,Áustria,argentina-vs-austria,notstarted
2026-06-22 17h,2,França,,,x,,,Iraque,franca-vs-iraque,notstarted
2026-06-22 20h,2,Noruega,,,x,,,Senegal,noruega-vs-senegal,notstarted
2026-06-22 20h,2,Jordânia,,,x,,,Argélia,jordania-vs-argelia,notstarted
2026-06-23 12h,2,Portugal,,,x,,,Uzbequistão,portugal-vs-uzbequistao,notstarted
2026-06-23 16h,2,Inglaterra,,,x,,,Gana,inglaterra-vs-gana,notstarted
2026-06-23 19h,2,Panamá,,,x,,,Croácia,panama-vs-croacia,notstarted
2026-06-23 20h,2,Colômbia,,,x,,,RD Congo,colombia-vs-rd_congo,notstarted
2026-06-24 12h,3,Suíça,,,x,,,Canadá,suica-vs-canada,notstarted
2026-06-24 12h,3,Bósnia,,,x,,,Catar,bosnia-vs-catar,notstarted
2026-06-24 18h,3,Escócia,,,x,,,Brasil,escocia-vs-brasil,notstarted
2026-06-24 18h,3,Marrocos,,,x,,,Haiti,marrocos-vs-haiti,notstarted
2026-06-24 19h,3,República Tcheca,,,x,,,México,republica_tcheca-vs-mexico,notstarted
2026-06-24 19h,3,África do Sul,,,x,,,Coréia do Sul,africa_do_sul-vs-coreia_do_sul,notstarted
2026-06-25 16h,3,Curaçao,,,x,,,Costa do Marfim,curacao-vs-costa_do_marfim,notstarted
2026-06-25 16h,3,Equador,,,x,,,Alemanha,equador-vs-alemanha,notstarted
2026-06-25 18h,3,Japão,,,x,,,Suécia,japao-vs-suecia,notstarted
2026-06-25 18h,3,Tunísia,,,x,,,Holanda,tunisia-vs-holanda,notstarted
2026-06-25 19h,3,Paraguai,,,x,,,Austrália,paraguai-vs-australia,notstarted
2026-06-25 19h,3,Turquia,,,x,,,Estados Unidos,turquia-vs-estados_unidos,notstarted
2026-06-26 15h,3,Senegal,,,x,,,Iraque,senegal-vs-iraque,notstarted
2026-06-26 15h,3,Noruega,,,x,,,França,noruega-vs-franca,notstarted
2026-06-26 18h,3,Uruguai,,,x,,,Espanha,uruguai-vs-espanha,notstarted
2026-06-26 19h,3,Cabo Verde,,,x,,,Arábia Saudita,cabo_verde-vs-arabia_saudita,notstarted
2026-06-26 20h,3,Nova Zelândia,,,x,,,Bélgica,nova_zelandia-vs-belgica,notstarted
2026-06-26 20h,3,Egito,,,x,,,Irã,egito-vs-ira,notstarted
2026-06-27 17h,3,Panamá,,,x,,,Inglaterra,panama-vs-inglaterra,notstarted
2026-06-27 17h,3,Croácia,,,x,,,Gana,croacia-vs-gana,notstarted
2026-06-27 19h,3,Colômbia,,,x,,,Portugal,colombia-vs-portugal,notstarted
2026-06-27 19h,3,RD Congo,,,x,,,Uzbequistão,rd_congo-vs-uzbequistao,notstarted
2026-06-27 21h,3,Argélia,,,x,,,Áustria,argelia-vs-austria,notstarted
2026-06-27 21h,3,Jordânia,,,x,,,Argentina,jordania-vs-argentina,notstarted
2026-06-28 12h,r32,,,,x,,,,-vs-,notstarted
2026-06-29 12h,r32,,,,x,,,,-vs-,notstarted
2026-06-29 16h,r32,,,,x,,,,-vs-,notstarted
2026-06-29 19h,r32,,,,x,,,,-vs-,notstarted
2026-06-30 12h,r32,,,,x,,,,-vs-,notstarted
2026-06-30 17h,r32,,,,x,,,,-vs-,notstarted
2026-06-30 19h,r32,México,,,x,,,,mexico-vs-,notstarted
2026-07-01 12h,r32,,,,x,,,,-vs-,notstarted
2026-07-01 13h,r32,,,,x,,,,-vs-,notstarted
2026-07-01 17h,r32,Estados Unidos,,,x,,,,estados_unidos-vs-,notstarted
2026-07-02 12h,r32,,,,x,,,,-vs-,notstarted
2026-07-02 19h,r32,,,,x,,,,-vs-,notstarted
2026-07-02 20h,r32,,,,x,,,,-vs-,notstarted
2026-07-03 13h,r32,,,,x,,,,-vs-,notstarted
2026-07-03 18h,r32,,,,x,,,,-vs-,notstarted
2026-07-03 20h,r32,,,,x,,,,-vs-,notstarted
2026-07-04 12h,r16,,,,x,,,,-vs-,notstarted
2026-07-04 17h,r16,,,,x,,,,-vs-,notstarted
2026-07-05 16h,r16,,,,x,,,,-vs-,notstarted
2026-07-05 18h,r16,,,,x,,,,-vs-,notstarted
2026-07-06 14h,r16,,,,x,,,,-vs-,notstarted
2026-07-06 17h,r16,,,,x,,,,-vs-,notstarted
2026-07-07 12h,r16,,,,x,,,,-vs-,notstarted
2026-07-07 13h,r16,,,,x,,,,-vs-,notstarted
2026-07-09 16h,qf,,,,x,,,,-vs-,notstarted
2026-07-10 12h,qf,,,,x,,,,-vs-,notstarted
2026-07-11 17h,qf,,,,x,,,,-vs-,notstarted
2026-07-11 20h,qf,,,,x,,,,-vs-,notstarted
2026-07-14 14h,sf,,,,x,,,,-vs-,notstarted
2026-07-15 15h,sf,,,,x,,,,-vs-,notstarted
2026-07-18 17h,third,,,,x,,,,-vs-,notstarted
2026-07-19 15h,final,,,,x,,,,-vs-,notstarted
